,head_full [m],head [m],rr [mm/d],tn [C],tx [C],stage [m],et [mm/d]
1996-05-19,,,5.0800,15.5556,8.3333,1.2862,2.9878
1996-05-20,,,0.0000,31.1111,12.2222,1.2466,6.4889
1996-05-21,,,0.0000,35.0000,18.3333,1.2588,6.9189
1996-05-22,,,7.6200,32.2222,10.5556,1.2649,6.9346
1996-05-23,,,0.0000,25.0000,7.2222,1.1948,5.4213
1996-05-24,,,0.5080,25.5556,7.7778,1.1673,5.5260
1996-05-25,,,0.0000,21.6667,2.7778,1.1338,4.9516
1996-05-26,,,0.0000,19.4444,2.7778,1.1064,4.4840
1996-05-27,,,0.0000,21.1111,5.5556,1.0881,4.6845
1996-05-28,,,0.0000,20.0000,10.0000,1.0820,3.9712
1996-05-29,,,0.0000,17.7778,8.3333,1.0637,3.6306
1996-05-30,,,0.0000,20.5556,5.0000,1.0546,4.6246
1996-05-31,,,0.2540,14.4444,5.0000,1.0698,3.2394
1996-06-01,,,0.0000,25.0000,5.0000,1.0454,5.6555
1996-06-02,,,0.0000,27.7778,7.7778,1.0180,6.1602
1996-06-03,,,0.0000,26.1111,5.0000,1.0424,5.9295
1996-06-04,,,22.6060,16.1111,8.8889,1.2313,3.1455
1996-06-05,,,2.5400,23.8889,15.0000,1.2100,4.3234
1996-06-06,,,0.0000,25.5556,8.3333,1.1186,5.6071
1996-06-07,,,0.0000,26.1111,11.1111,1.0607,5.4986
1996-06-08,,,0.0000,27.2222,13.3333,1.0210,5.5475
1996-06-09,,,0.0000,31.1111,17.2222,0.9966,6.1426
1996-06-10,,,0.0000,28.8889,18.3333,1.0119,5.2855
1996-06-11,,,7.6200,22.7778,18.3333,1.0850,3.1696
1996-06-12,,,0.0000,28.3333,19.4444,1.0424,4.8908
1996-06-13,,,0.0000,27.7778,18.8889,1.0058,4.8257
1996-06-14,,,0.0000,27.7778,16.1111,0.9845,5.3371
1996-06-15,,,0.0000,28.3333,14.4444,0.9601,5.7410
1996-06-16,,,0.0000,29.4444,12.7778,0.9357,6.2444
1996-06-17,,,0.0000,27.7778,14.4444,0.9174,5.5863
1996-06-18,,,5.0800,27.2222,15.5556,0.9205,5.2648
1996-06-19,,,0.0000,24.4444,13.3333,0.9083,4.7987
1996-06-20,,,11.1760,17.2222,13.8889,0.9601,2.3818
1996-06-21,,,1.5240,18.3333,14.4444,0.9723,2.6386
1996-06-22,,,0.0000,25.5556,15.0000,0.9570,4.8586
1996-06-23,,,0.0000,23.3333,14.4444,0.9357,4.2888
1996-06-24,,,0.0000,26.1111,12.2222,0.9113,5.4008
1996-06-25,,,1.2700,24.4444,12.7778,1.0759,4.8705
1996-06-26,,,0.0000,25.5556,11.6667,1.0393,5.3111
1996-06-27,,,0.0000,23.3333,8.8889,0.9570,5.0289
1996-06-28,,,0.2540,25.5556,12.7778,0.9174,5.1673
1996-06-29,,,0.0000,25.0000,11.1111,0.8930,5.2154
1996-06-30,,,2.2860,23.3333,12.7778,0.8778,4.5425
1996-07-01,,,1.2700,17.7778,15.5556,0.8839,1.9988
1996-07-02,,,0.0000,28.8889,12.2222,0.8808,6.1076
1996-07-03,,,8.1280,29.4444,13.8889,0.9936,6.0707
1996-07-04,,,7.3660,21.1111,15.0000,1.0576,3.4404
1996-07-05,,,2.7940,22.2222,13.3333,0.9875,4.1105
1996-07-06,,,0.0000,26.6667,12.7778,0.9418,5.4211
1996-07-07,,,0.0000,29.4444,15.5556,0.9052,5.8290
1996-07-08,,,0.0000,28.8889,16.6667,0.8808,5.4983
1996-07-09,,,4.3180,30.5556,17.7778,0.9235,5.8121
1996-07-10,,,7.1120,29.4444,12.7778,0.9692,6.1254
1996-07-11,,,0.0000,23.8889,10.0000,0.9296,4.9635
1996-07-12,,,0.0000,26.1111,11.1111,0.8900,5.4036
1996-07-13,,,16.2560,26.6667,12.7778,1.3990,5.3529
1996-07-14,,,81.2800,21.6667,16.1111,1.7921,3.3004
1996-07-15,,,0.0000,28.8889,16.6667,1.3776,5.4223
1996-07-16,,,11.1760,23.8889,18.3333,1.2161,3.4917
1996-07-17,,,1.2700,27.7778,18.3333,1.1368,4.7774
1996-07-18,,,6.8580,30.0000,14.4444,1.0393,5.9862
1996-07-19,,,0.5080,28.8889,14.4444,1.0210,5.6704
1996-07-20,,,7.1120,27.2222,14.4444,1.0607,5.2023
1996-07-21,,,0.0000,22.7778,12.7778,0.9966,4.2139
1996-07-22,,,0.0000,26.6667,11.1111,0.9601,5.4099
1996-07-23,,,0.7620,27.7778,12.7778,0.9601,5.5044
1996-07-24,,,17.2720,17.7778,15.5556,1.0789,1.9052
1996-07-25,,,0.2540,25.0000,15.5556,1.0302,4.3404
1996-07-26,,,21.3360,22.2222,17.7778,1.0759,2.9453
1996-07-27,,,3.5560,24.4444,14.4444,1.1704,4.3360
1996-07-28,,,0.0000,23.3333,12.7778,1.0637,4.2682
1996-07-29,,,0.0000,26.6667,13.3333,0.9936,5.0486
1996-07-30,,,0.0000,26.1111,13.3333,0.9601,4.8867
1996-07-31,,,1.0160,23.3333,16.1111,0.9570,3.6601
1996-08-01,,,5.0800,17.2222,15.5556,1.0637,1.5908
1996-08-02,,,4.8260,22.2222,13.3333,1.0302,3.8130
1996-08-03,,,0.0000,27.2222,13.8889,1.0149,5.0276
1996-08-04,,,0.0000,24.4444,17.7778,0.9662,3.5935
1996-08-05,,,0.0000,27.7778,15.5556,0.9875,4.9167
1996-08-06,,,0.0000,30.0000,15.5556,0.9570,5.4775
1996-08-07,,,0.0000,30.5556,16.1111,0.9296,5.5308
1996-08-08,,,0.0000,29.4444,17.2222,0.9052,5.0644
1996-08-09,,,0.0000,28.8889,17.7778,0.8808,4.8063
1996-08-10,,,1.7780,28.8889,15.5556,1.0119,5.0930
1996-08-11,,,0.0000,27.2222,12.2222,0.9174,5.0278
1996-08-12,,,0.0000,26.1111,12.2222,0.8778,4.7402
1996-08-13,,,4.8260,21.6667,12.7778,0.9144,3.5678
1996-08-14,,,9.9060,18.8889,10.5556,0.9479,3.1837
1996-08-15,,,0.0000,27.2222,10.5556,0.9174,5.0727
1996-08-16,,,0.0000,27.2222,13.3333,0.8930,4.7865
1996-08-17,,,2.7940,23.3333,15.0000,0.8747,3.5759
1996-08-18,,,0.0000,27.2222,13.8889,0.8595,4.6731
1996-08-19,,,0.0000,27.7778,13.8889,0.8504,4.7779
1996-08-20,,,0.0000,27.7778,13.8889,0.8443,4.7502
1996-08-21,,,0.0000,27.7778,16.6667,0.8382,4.3812
1996-08-22,,,0.0000,26.6667,14.4444,0.8321,4.3702
1996-08-23,,,0.0000,29.4444,15.0000,0.8382,4.9348
1996-08-24,,,18.7960,31.6667,15.5556,1.0149,5.3661
1996-08-25,,,13.2080,24.4444,12.2222,1.0210,4.0317
1996-08-26,,,0.0000,27.7778,12.7778,0.9418,4.6851
1996-08-27,,,0.0000,30.0000,14.4444,0.8991,4.9911
1996-08-28,,,0.0000,27.2222,14.4444,0.8778,4.3316
1996-08-29,,,0.0000,20.5556,11.6667,0.8625,3.1354
1996-08-30,,,0.0000,26.6667,11.6667,0.8473,4.4223
1996-08-31,,,0.0000,25.5556,8.3333,0.8351,4.4131
1996-09-01,,,0.0000,26.6667,9.4444,0.8382,4.5266
1996-09-02,,,0.0000,25.0000,9.4444,0.8260,4.1682
1996-09-03,,,0.0000,29.4444,12.7778,0.8321,4.7762
1996-09-04,,,0.0000,30.0000,12.7778,0.8107,4.8546
1996-09-05,,,0.0000,25.5556,18.3333,0.8046,3.1659
1996-09-06,,,0.0000,27.7778,16.1111,0.8046,3.9928
1996-09-07,,,13.9700,28.3333,16.6667,0.8473,4.0192
1996-09-08,,,19.5580,19.4444,14.4444,0.8808,2.2385
1996-09-09,,,0.2540,17.7778,14.4444,0.8595,1.7682
1996-09-10,,,0.7620,26.6667,17.2222,0.8625,3.4794
1996-09-11,,,0.0000,26.1111,14.4444,0.9631,3.6686
1996-09-12,,,0.0000,22.2222,13.8889,0.9144,2.8890
1996-09-13,,,0.7620,21.1111,13.8889,0.8900,2.6241
1996-09-14,,,20.5740,15.0000,12.7778,0.8839,1.2910
1996-09-15,,,0.0000,20.5556,7.2222,0.8717,3.1348
1996-09-16,,,0.0000,22.2222,7.2222,0.8564,3.3852
1996-09-17,,,6.0960,20.0000,11.1111,0.8808,2.6510
1996-09-18,,,57.4040,14.4444,10.5556,1.4691,1.5739
1996-09-19,,,35.0520,13.8889,10.5556,1.4782,1.4303
1996-09-20,,,0.0000,17.2222,6.1111,1.2283,2.5381
1996-09-21,,,0.0000,22.2222,6.1111,1.1003,3.2925
1996-09-22,,,0.0000,23.3333,7.2222,1.0454,3.3785
1996-09-23,,,30.4800,17.2222,8.8889,1.2588,2.2402
1996-09-24,,,0.0000,17.2222,2.7778,1.2374,2.6241
1996-09-25,,,5.5880,15.5556,3.3333,1.1612,2.3414
1996-09-26,,,0.5080,15.5556,3.3333,1.0911,2.3184
1996-09-27,,,0.0000,15.5556,4.4444,1.0485,2.2345
1996-09-28,,,0.0000,16.1111,8.8889,1.0241,1.9485
1996-09-29,,,24.3840,21.1111,12.7778,1.1033,2.3860
1996-09-30,,,0.0000,17.7778,7.2222,1.1125,2.3081
1996-10-01,,,0.0000,17.7778,4.4444,1.0332,2.4466
1996-10-02,,,0.0000,19.4444,5.0000,0.9997,2.6197
1996-10-03,,,3.5560,19.4444,8.8889,1.0119,2.3640
1996-10-04,,,0.0000,12.2222,-2.2222,0.9936,1.9347
1996-10-05,,,0.0000,11.6667,-2.7778,0.9784,1.8666
1996-10-06,,,0.0000,11.1111,-2.7778,0.9692,1.7877
1996-10-07,,,0.0000,13.8889,-0.5556,0.9662,2.0136
1996-10-08,,,0.0000,18.3333,-0.5556,0.9753,2.4899
1996-10-09,,,52.5780,13.8889,10.0000,1.4051,1.2490
1996-10-10,,,7.1120,15.5556,7.2222,1.3441,1.7737
1996-10-11,,,5.0800,14.4444,3.3333,1.2466,1.8477
1996-10-12,,,0.0000,10.0000,-3.3333,1.1582,1.5766
1996-10-13,,,0.0000,13.3333,-2.7778,1.0972,1.8750
1996-10-14,,,0.2540,17.2222,6.1111,1.0637,1.9780
1996-10-15,,,0.0000,20.0000,-0.5556,1.0363,2.4800
1996-10-16,,,0.0000,11.1111,-0.5556,1.0027,1.5425
1996-10-17,,,0.0000,22.7778,5.5556,0.9845,2.5885
1996-10-18,,,0.0000,21.6667,7.2222,0.9723,2.3647
1996-10-19,,,1.2700,13.3333,6.6667,0.9723,1.3636
1996-10-20,,,111.2520,10.0000,6.6667,1.9141,0.8947
1996-10-21,,,21.8440,11.1111,7.2222,1.9902,0.9866
1996-10-22,,,8.3820,13.3333,5.5556,1.6580,1.3939
1996-10-23,,,0.0000,13.3333,2.2222,1.4660,1.5438
1996-10-24,,,3.8100,17.2222,5.5556,1.4112,1.7908
1996-10-25,,,0.0000,16.6667,3.8889,1.3441,1.7804
1996-10-26,,,0.0000,17.7778,0.0000,1.2862,1.9707
1996-10-27,,,0.0000,19.4444,0.0000,1.2466,2.1029
1996-10-28,,,0.0000,21.1111,2.2222,1.2770,2.1979
1996-10-29,,,5.0800,16.6667,3.3333,1.3075,1.7196
1996-10-30,,,0.0000,11.6667,0.5556,1.2496,1.3300
1996-10-31,,,1.2700,11.1111,5.0000,1.2252,1.0565
1996-11-01,,,0.0000,12.7778,-1.6667,1.1978,1.4473
1996-11-02,,,0.0000,6.6667,-3.3333,1.1612,0.9888
1996-11-03,,,0.0000,8.3333,-2.2222,1.1429,1.0777
1996-11-04,,,0.0000,6.1111,-2.7778,1.1247,0.9117
1996-11-05,,,0.0000,10.5556,-2.2222,1.1064,1.2228
1996-11-06,,,0.0000,12.7778,3.8889,1.0942,1.2049
1996-11-07,,,1.2700,11.6667,5.0000,1.0942,1.0322
1996-11-08,,,7.1120,16.6667,7.2222,1.1765,1.3881
1996-11-09,,,46.9900,18.3333,12.2222,1.8592,1.2325
1996-11-10,,,4.8260,12.7778,0.0000,1.9720,1.2787
1996-11-11,,,0.0000,7.7778,-2.7778,1.6336,0.9617
1996-11-12,,,0.0000,5.0000,-3.3333,1.4538,0.7751
1996-11-13,,,0.0000,3.8889,-7.7778,1.3746,0.7704
1996-11-14,,,0.0000,3.3333,-7.7778,1.3258,0.7311
1996-11-15,,,0.0000,2.2222,-10.0000,1.2649,0.6770
1996-11-16,,,0.0000,1.1111,-11.6667,1.2344,0.6163
1996-11-17,,,0.0000,6.6667,-10.0000,1.2161,0.9013
1996-11-18,,,0.0000,13.8889,-6.6667,1.2100,1.3225
1996-11-19,,,0.0000,8.8889,-2.2222,1.2313,0.9507
1996-11-20,,,1.5240,5.0000,-3.3333,1.2313,0.7178
1996-11-21,,,0.0000,5.0000,-3.3333,1.1978,0.7115
1996-11-22,,,0.0000,3.3333,-1.6667,1.1765,0.5464
1996-11-23,,,0.0000,3.8889,-2.2222,1.1521,0.5991
1996-11-24,,,0.0000,7.7778,-1.1111,1.1399,0.8148
1996-11-25,,,0.0000,4.4444,-0.5556,1.1338,0.5657
1996-11-26,,,23.8760,6.6667,0.0000,1.6458,0.6948
1996-11-27,,,18.5420,7.7778,-3.8889,1.8043,0.8513
1996-11-28,,,0.0000,-2.2222,-11.1111,1.5239,0.4127
1996-11-29,,,0.0000,-1.6667,-10.5556,1.3898,0.4305
1996-11-30,,,0.0000,2.2222,-7.7778,1.3289,0.5849
1996-12-01,,,5.3340,4.4444,-6.1111,1.3563,0.6757
1996-12-02,,,62.2300,13.3333,6.6667,2.1487,0.8836
1996-12-03,,,0.2540,7.2222,-4.4444,2.1274,0.7957
1996-12-04,,,0.2540,6.6667,-4.4444,1.7678,0.7610
1996-12-05,,,0.0000,3.8889,-0.5556,1.5849,0.4932
1996-12-06,,,8.6360,4.4444,0.0000,1.5788,0.5051
1996-12-07,,,23.3680,1.1111,-2.2222,1.6001,0.3741
1996-12-08,,,29.4640,1.1111,-2.2222,1.6611,0.3726
1996-12-09,,,0.0000,3.8889,-7.2222,1.6123,0.6333
1996-12-10,,,0.0000,3.3333,-7.2222,1.5087,0.6044
1996-12-11,,,0.0000,2.7778,-5.5556,1.4508,0.5544
1996-12-12,,,9.1440,2.2222,-2.2222,1.4965,0.4385
1996-12-13,,,7.8740,3.3333,1.1111,1.6001,0.3487
1996-12-14,,,3.0480,2.7778,0.5556,1.6336,0.3382
1996-12-15,,,8.1280,2.7778,0.5556,1.6977,0.3376
1996-12-16,,,0.5080,3.8889,0.5556,1.6641,0.4249
1996-12-17,,,2.2860,3.8889,0.5556,1.8470,0.4245
1996-12-18,,,10.6680,7.7778,1.6667,2.1152,0.6477
1996-12-19,,,2.0320,10.5556,3.3333,1.9872,0.7750
1996-12-20,,,8.3820,3.8889,-7.2222,1.9963,0.6217
1996-12-21,,,0.0000,-3.8889,-10.0000,1.7617,0.3088
1996-12-22,,,0.0000,-0.5556,-9.4444,1.6154,0.4404
1996-12-23,,,0.0000,1.6667,-4.4444,1.5453,0.4703
1996-12-24,,,0.0000,5.0000,0.0000,1.5209,0.5289
1996-12-25,,,16.0020,12.7778,-3.8889,1.8013,1.0622
1996-12-26,,,0.0000,-1.6667,-8.3333,1.6855,0.3840
1996-12-27,,,0.0000,1.6667,-7.7778,1.5544,0.5288
1996-12-28,,,0.0000,5.5556,-3.8889,1.4691,0.6727
1996-12-29,,,0.0000,6.1111,-2.7778,1.4386,0.6846
1996-12-30,,,2.2860,10.5556,2.7778,1.4447,0.8116
1996-12-31,,,0.0000,3.3333,-4.4444,1.3929,0.5704
1997-01-01,,,4.0640,-3.8889,-17.7778,1.3197,0.3050
1997-01-02,,,2.2860,-2.7778,-17.7778,1.3380,0.3439
1997-01-03,,,0.2540,4.4444,-2.7778,1.3350,0.6001
1997-01-04,,,0.0000,8.8889,-1.1111,1.3441,0.8283
1997-01-05,,,0.5080,7.2222,-0.5556,1.3563,0.7152
1997-01-06,,,1.7780,10.0000,2.2222,1.3685,0.8159
1997-01-07,,,0.0000,3.8889,-3.8889,1.3197,0.6074
1997-01-08,,,0.0000,0.5556,-6.6667,1.2679,0.4864
1997-01-09,,,0.0000,-1.1111,-8.8889,1.2039,0.4403
1997-01-10,,,6.6040,0.5556,-6.6667,1.2527,0.4929
1997-01-11,,,0.0000,2.2222,-4.4444,1.2527,0.5408
1997-01-12,,,0.0000,-1.6667,-10.5556,1.2009,0.4385
1997-01-13,,,0.0000,-2.7778,-10.5556,1.2009,0.3934
1997-01-14,,,0.0000,0.0000,-5.5556,1.1826,0.4538
1997-01-15,,,0.0000,0.0000,-5.0000,1.1734,0.4422
1997-01-16,,,1.2700,2.2222,-6.6667,1.4051,0.6054
1997-01-17,,,24.1300,6.6667,-12.2222,1.4813,0.8579
1997-01-18,,,0.0000,-8.8889,-16.6667,1.3350,0.1839
1997-01-19,,,0.0000,-9.4444,-20.0000,1.2130,0.1322
1997-01-20,,,0.0000,-8.3333,-20.0000,1.1704,0.1657
1997-01-21,,,0.0000,-2.2222,-10.5556,1.1795,0.4473
1997-01-22,,,0.0000,-0.5556,-7.7778,1.1856,0.5033
1997-01-23,,,1.0160,7.7778,-2.2222,1.2374,0.9085
1997-01-24,,,0.0000,8.8889,-11.1111,1.1795,1.0485
1997-01-25,,,32.2580,0.0000,-11.1111,1.6154,0.5767
1997-01-26,,,1.7780,7.2222,-5.0000,1.4813,0.9497
1997-01-27,,,0.0000,-3.3333,-12.2222,1.3045,0.4301
1997-01-28,,,18.7960,5.5556,-11.6667,1.5361,0.8939
1997-01-29,,,8.8900,5.5556,-8.8889,1.5422,0.9065
1997-01-30,,,0.0000,-5.5556,-12.7778,1.3746,0.3443
1997-01-31,,,0.2540,-4.4444,-12.7778,1.3106,0.3981
1997-02-01,,,6.0960,0.5556,-6.1111,1.2862,0.5917
1997-02-02,,,0.0000,7.2222,-3.8889,1.2831,1.0051
1997-02-03,,,0.0000,5.0000,-3.8889,1.2710,0.8563
1997-02-04,,,0.0000,5.0000,-5.5556,1.2618,0.9000
1997-02-05,,,22.8600,0.5556,-5.5556,1.5696,0.6035
1997-02-06,,,4.5720,6.1111,0.5556,1.5818,0.8083
1997-02-07,,,0.0000,3.3333,-5.0000,1.4264,0.8007
1997-02-08,,,0.0000,2.2222,-4.4444,1.3441,0.7123
1997-02-09,,,0.0000,-0.5556,-7.7778,1.2892,0.6109
1997-02-10,,,0.0000,1.1111,-6.6667,1.2527,0.7076
1997-02-11,,,0.0000,0.5556,-8.3333,1.2313,0.7079
1997-02-12,,,0.2540,1.1111,-8.3333,1.2161,0.7531
1997-02-13,,,1.5240,1.6667,-10.5556,1.2009,0.8151
1997-02-14,,,1.7780,0.5556,-10.5556,1.2191,0.7532
1997-02-15,,,8.1280,1.6667,-5.5556,1.3045,0.7631
1997-02-16,,,0.0000,3.8889,-7.2222,1.2953,0.9746
1997-02-17,,,4.0640,0.5556,-8.3333,1.2435,0.7588
1997-02-18,,,0.0000,0.0000,-8.3333,1.2161,0.7283
1997-02-19,,,0.0000,11.6667,-1.6667,1.2374,1.5720
1997-02-20,,,0.2540,13.3333,-0.5556,1.2923,1.7242
1997-02-21,,,0.0000,6.1111,-2.7778,1.2618,1.1179
1997-02-22,,,0.0000,13.3333,2.7778,1.2801,1.6467
1997-02-23,,,0.0000,20.0000,-5.0000,1.2831,2.5069
1997-02-24,,,0.0000,4.4444,-3.8889,1.2344,1.0389
1997-02-25,,,0.0000,4.4444,-12.2222,1.1826,1.1391
1997-02-26,,,0.0000,-2.7778,-11.6667,1.1612,0.6377
1997-02-27,,,1.5240,11.6667,-2.7778,1.1917,1.7481
1997-02-28,,,0.0000,18.3333,1.6667,1.2100,2.3857
1997-03-01,,,0.0000,8.3333,-3.8889,1.1856,1.4769
1997-03-02,,,4.5720,5.0000,0.5556,1.2252,0.9260
1997-03-03,,,0.0000,12.7778,0.0000,1.2527,1.8725
1997-03-04,,,4.5720,4.4444,-2.7778,1.2252,1.0906
1997-03-05,,,2.0320,2.7778,-2.2222,1.2130,0.8895
1997-03-06,,,14.2240,8.8889,0.5556,1.3319,1.4523
1997-03-07,,,0.0000,5.0000,-3.3333,1.3075,1.2100
1997-03-08,,,0.0000,2.2222,-8.3333,1.2405,1.0851
1997-03-09,,,1.2700,4.4444,-10.0000,1.2100,1.3073
1997-03-10,,,11.1760,2.7778,-10.0000,1.2161,1.1727
1997-03-11,,,0.7620,9.4444,-5.5556,1.2496,1.7959
1997-03-12,,,0.0000,6.6667,-4.4444,1.2252,1.4945
1997-03-13,,,0.0000,4.4444,-9.4444,1.1917,1.3610
1997-03-14,,,0.0000,1.1111,-9.4444,1.1795,1.0663
1997-03-15,,,27.9400,1.1111,-5.5556,1.4630,0.9798
1997-03-16,,,0.0000,2.7778,-10.0000,1.3959,1.2461
1997-03-17,,,0.0000,-1.1111,-12.7778,1.2892,0.9171
1997-03-18,,,0.0000,4.4444,-11.1111,1.2496,1.4298
1997-03-19,,,0.0000,6.1111,-5.0000,1.2283,1.5536
1997-03-20,,,0.0000,6.1111,-4.4444,1.2283,1.5523
1997-03-21,,,4.0640,3.3333,-5.0000,1.2313,1.2657
1997-03-22,,,1.7780,7.2222,-2.7778,1.2527,1.6562
1997-03-23,,,0.0000,8.3333,-7.7778,1.2496,1.9119
1997-03-24,,,0.0000,1.1111,-8.8889,1.2069,1.1651
1997-03-25,,,0.0000,5.5556,-8.3333,1.1795,1.6382
1997-03-26,,,13.4620,10.0000,-5.5556,1.2740,2.1411
1997-03-27,,,0.0000,8.3333,-1.1111,1.3380,1.8021
1997-03-28,,,0.0000,18.3333,-1.6667,1.2740,3.2429
1997-03-29,,,0.0000,20.0000,-0.5556,1.2435,3.4964
1997-03-30,,,4.5720,10.5556,1.1111,1.2466,2.0446
1997-03-31,,,5.8420,15.5556,5.0000,1.3441,2.6003
1997-04-01,,,79.2480,5.5556,-2.7778,1.5392,1.5785
1997-04-02,,,0.0000,4.4444,-2.7778,1.4782,1.4377
1997-04-03,,,0.0000,11.1111,-3.8889,1.4934,2.4060
1997-04-04,,,0.0000,15.5556,-2.2222,1.5605,3.0253
1997-04-05,,,0.0000,13.8889,-1.6667,1.6519,2.7855
1997-04-06,,,0.7620,18.3333,3.8889,1.6093,3.2857
1997-04-07,,,0.2540,14.4444,5.0000,1.5483,2.5447
1997-04-08,,,0.0000,22.7778,-0.5556,1.4691,4.2381
1997-04-09,,,0.0000,12.2222,-3.8889,1.3959,2.6774
1997-04-10,,,0.0000,1.6667,-6.1111,1.3411,1.3206
1997-04-11,,,0.0000,7.2222,-5.0000,1.3045,2.0301
1997-04-12,,,0.0000,11.6667,-3.8889,1.3075,2.6518
1997-04-13,,,24.8920,11.6667,3.3333,1.6062,2.2872
1997-04-14,,,0.0000,14.4444,1.6667,1.4995,2.9152
1997-04-15,,,0.0000,11.1111,-4.4444,1.3898,2.6344
1997-04-16,,,0.0000,14.4444,-4.4444,1.3319,3.1570
1997-04-17,,,0.0000,19.4444,-2.7778,1.3045,3.9621
1997-04-18,,,5.5880,13.8889,2.7778,1.4020,2.8190
1997-04-19,,,23.8760,3.3333,0.0000,1.5300,1.1498
1997-04-20,,,2.0320,7.2222,-0.5556,1.5178,1.9212
1997-04-21,,,0.0000,13.8889,0.0000,1.4142,3.0340
1997-04-22,,,0.0000,15.0000,0.0000,1.3563,3.2440
1997-04-23,,,0.0000,17.7778,1.6667,1.3136,3.6857
1997-04-24,,,0.0000,17.2222,2.2222,1.2831,3.5759
1997-04-25,,,0.0000,8.3333,3.8889,1.2588,1.6944
1997-04-26,,,0.0000,16.1111,1.6667,1.2374,3.4366
1997-04-27,,,0.0000,18.8889,-0.5556,1.2161,4.0508
1997-04-28,,,8.8900,20.0000,1.1111,1.2649,4.2250
1997-04-29,,,8.1280,10.5556,5.0000,1.3014,2.0717
1997-04-30,,,0.0000,19.4444,2.2222,1.2374,4.1151
1997-05-01,,,0.0000,25.0000,4.4444,1.2039,5.1496
1997-05-02,,,3.8100,22.2222,3.8889,1.2130,4.6281
1997-05-03,,,0.0000,17.2222,3.8889,1.2313,3.6349
