,head_full [m],head [m],rr [mm/d],tg [C],tn [C],tx [C],pp [hPa],hu [%],fg [m/s],qq [W/m2],et [mm/d]
1990-04-10,,,3.2000,4.9100,-0.8200,10.6800,1010.3000,53.4750,2.1300,249.0000,2.6628
1990-04-11,,,11.0000,3.3100,1.0400,7.7100,1008.5000,91.6000,3.5600,101.0000,1.0234
1990-04-12,,,0.0000,3.0700,0.5100,8.0200,1016.9000,75.5650,1.6800,145.0000,1.4500
1990-04-13,,,0.0000,4.5700,-2.3900,10.8600,1016.1000,82.6450,1.9000,167.0000,1.7603
1990-04-14,,,4.4000,6.1800,1.2800,14.1500,1012.2000,80.0200,3.0200,151.0000,1.6814
1990-04-15,,,7.5000,3.7700,0.0500,7.2900,1009.2000,88.2200,3.7000,116.0000,1.1940
1990-04-16,,,1.3000,5.1900,0.8500,9.5500,1018.1000,75.7250,3.1000,195.0000,2.0964
1990-04-17,,,1.4000,5.5300,0.5500,10.5300,1018.1000,76.8250,2.2500,188.0000,2.0439
1990-04-18,,,4.8000,4.6000,1.3500,5.1800,1017.6000,91.1350,1.8100,117.0000,1.2335
1990-04-19,,,4.3000,6.0900,4.2100,8.1400,1012.2000,86.7250,1.6300,116.0000,1.2880
1990-04-20,,,0.0000,9.8800,4.2700,15.3900,1006.0000,62.6900,2.8600,210.0000,2.6171
1990-04-21,,,0.0000,11.6600,6.6300,16.3500,1005.3000,57.4100,2.8800,215.0000,2.8099
1990-04-22,,,0.0000,9.9700,7.0900,13.7100,1007.5000,72.1350,1.8400,170.0000,2.1224
1990-04-23,,,2.4000,9.1300,7.3300,10.8600,1005.5000,79.3650,1.8100,75.0000,0.9155
1990-04-24,,,2.2000,8.0500,6.8100,11.1400,1009.5000,83.8950,2.4800,103.0000,1.2163
1990-04-25,,,2.4000,8.8500,6.4300,12.5300,1014.4000,82.7000,2.7200,133.0000,1.6040
1990-04-26,,,7.5000,8.3700,5.2500,13.3800,1018.2000,81.3250,2.1700,188.0000,2.2320
1990-04-27,,,2.2000,7.8800,2.7600,10.7100,1018.9000,81.8600,4.0400,84.0000,0.9826
1990-04-28,,,0.0000,5.5300,3.4600,10.1000,1027.4000,61.5550,2.4400,241.0000,2.6077
1990-04-29,,,0.0000,8.6200,2.5700,14.9300,1028.1000,66.4450,1.4200,275.0000,3.2738
1990-04-30,,,0.0000,11.8100,1.2100,18.3200,1027.5000,68.7750,1.0600,255.0000,3.3145
1990-05-01,,,0.0000,14.6300,4.2000,21.7800,1028.7001,62.8800,2.0600,298.0000,4.1468
1990-05-02,,,0.0000,17.4200,7.6600,22.9900,1030.7001,51.1000,3.3100,293.0000,4.3287
1990-05-03,,,0.0000,15.5800,8.0600,20.7800,1029.5000,44.1350,3.1500,305.0000,4.3348
1990-05-04,,,0.0000,16.4700,5.8600,23.1900,1024.6000,49.7200,2.7400,307.0000,4.4560
1990-05-05,,,0.0000,16.4300,7.2600,24.8300,1019.6000,58.3150,2.6600,302.0000,4.3875
1990-05-06,,,0.0000,13.5100,7.0100,23.3100,1017.3000,74.1700,1.6200,274.0000,3.7304
1990-05-07,,,0.0000,13.9200,5.7800,21.6900,1015.2000,69.3050,1.6000,256.0000,3.5223
1990-05-08,,,0.0000,12.7400,7.2700,18.4300,1016.6000,77.3000,1.0700,214.0000,2.8604
1990-05-09,,,0.0000,14.3700,8.0500,21.6300,1015.2000,71.3200,1.2500,261.0000,3.6289
1990-05-10,,,2.1000,15.2700,7.9900,23.3600,1014.1000,61.9900,1.7600,290.0000,4.1167
1990-05-11,,,3.8000,12.2300,11.2700,15.0300,1012.7000,88.2650,1.7500,162.0000,2.1414
1990-05-12,,,0.0000,13.0900,9.6800,18.5300,1011.1000,65.4850,1.3800,274.0000,3.7020
1990-05-13,,,0.0000,13.3500,6.2900,20.1700,1011.9000,70.8250,1.8100,277.0000,3.7649
1990-05-14,,,0.0000,14.2300,9.7000,19.8600,1015.1000,61.0550,1.3700,270.0000,3.7420
1990-05-15,,,0.0000,15.2300,7.3300,22.3900,1017.7000,58.8950,0.9600,286.0000,4.0509
1990-05-16,,,0.0000,16.6200,8.3800,23.2200,1017.7000,68.3600,1.8000,281.0000,4.1016
1990-05-17,,,0.0000,15.6500,11.6800,21.7000,1015.9000,66.8850,2.3500,280.0000,4.0055
1990-05-18,,,0.0000,14.4400,6.9800,20.0000,1017.6000,56.1100,2.1800,285.0000,3.9653
1990-05-19,,,0.0000,14.5900,7.4000,20.4800,1019.7000,51.2400,3.0800,299.0000,4.1711
1990-05-20,,,0.0000,14.3400,6.6600,20.4500,1018.2000,48.6300,3.2500,318.0000,4.4132
1990-05-21,,,0.0000,15.7200,6.7000,20.5500,1012.8000,63.7950,1.4100,244.0000,3.4998
1990-05-22,,,0.0000,15.6600,10.5500,21.3500,1013.0000,66.0850,1.3500,262.0000,3.7528
1990-05-23,,,1.9000,16.6000,8.3500,24.1100,1013.9000,69.1250,1.5900,226.0000,3.3018
1990-05-24,,,0.0000,16.3200,9.0200,21.0300,1011.8000,73.7950,1.9300,157.0000,2.2820
1990-05-25,,,0.0000,11.2300,10.0900,14.7500,1016.5000,57.6050,3.2900,186.0000,2.3926
1990-05-26,,,0.0000,10.8300,4.3900,15.9200,1023.3000,50.4900,2.1300,297.0000,3.7691
1990-05-27,,,0.0000,12.0100,2.9500,18.0600,1022.9000,44.9550,1.7300,331.0000,4.3328
1990-05-28,,,0.0000,9.2300,3.5300,15.2600,1024.0000,58.1300,2.4700,282.0000,3.4231
1990-05-29,,,0.0000,8.2500,0.8700,15.1400,1025.5000,58.8450,1.3700,297.0000,3.5016
1990-05-30,,,0.0000,11.9700,0.0300,18.7700,1021.1000,44.6350,1.0900,325.0000,4.2531
1990-05-31,,,0.0000,13.6000,2.3100,21.3200,1020.3000,48.8350,1.0600,305.0000,4.1565
1990-06-01,,,0.0000,16.4200,4.6400,24.4400,1017.5000,49.1550,1.6600,297.0000,4.3172
1990-06-02,,,14.0000,12.1500,8.8300,18.7600,1010.0000,76.5900,3.6800,160.0000,2.1131
1990-06-03,,,1.5000,12.2300,6.8200,16.0500,1011.0000,73.4550,2.8300,187.0000,2.4736
1990-06-04,,,0.0000,12.9900,10.5300,16.5600,1007.3000,64.0000,4.4000,212.0000,2.8618
1990-06-05,,,0.0000,14.8500,5.5700,19.2700,1011.7000,51.3050,1.7000,253.0000,3.5611
1990-06-06,,,0.0000,12.5300,10.9700,15.4900,1012.5000,83.6450,1.2000,90.0000,1.1987
1990-06-07,,,0.0000,14.5300,9.1100,18.6800,1010.8000,78.3400,2.3700,106.0000,1.4817
1990-06-08,,,11.2000,10.7000,8.7500,14.4300,1006.1000,87.6100,2.8000,144.0000,1.8348
1990-06-09,,,5.9000,10.5400,4.1800,16.2600,1010.1000,75.4400,2.8300,237.0000,3.0016
1990-06-10,,,16.0000,10.3300,6.0600,14.2800,1012.0000,82.9400,3.9500,140.0000,1.7616
1990-06-11,,,0.0000,12.3400,9.4200,15.2900,1016.1000,82.4050,2.8500,130.0000,1.7208
1990-06-12,,,19.5000,13.6300,8.4400,17.4400,1013.8000,81.4300,1.5000,117.0000,1.5997
1990-06-13,,,5.6000,12.9900,11.5200,15.6600,1015.6000,88.6450,1.8000,95.0000,1.2781
1990-06-14,,,0.0000,14.6800,10.5200,17.8400,1016.4000,76.4250,1.3400,144.0000,2.0155
1990-06-15,,,1.8000,13.9300,11.6300,18.5700,1016.3000,80.0100,1.6400,120.0000,1.6507
1990-06-16,,,1.5000,13.0000,11.7600,15.4400,1017.1000,86.2200,1.0700,169.0000,2.2729
1990-06-17,,,0.0000,14.7700,8.1600,21.1500,1014.3000,71.3700,0.9200,284.0000,3.9863
1990-06-18,,,0.0000,16.1200,7.8700,20.3700,1013.0000,77.8350,1.8500,211.0000,3.0525
1990-06-19,,,0.0000,17.9900,10.5900,25.4900,1014.2000,69.0750,1.6300,329.0000,4.9443
1990-06-20,,,11.8000,18.0000,13.6100,25.5800,1012.3000,69.4200,2.0600,203.0000,3.0533
1990-06-21,,,0.0000,15.7800,13.0800,20.2100,1011.7000,71.9650,2.5800,272.0000,3.9081
1990-06-22,,,4.5000,12.4600,10.9600,15.9600,1010.7000,88.6550,2.6800,116.0000,1.5435
1990-06-23,,,6.2000,11.5200,9.6100,15.6700,1017.3000,89.1900,2.5100,183.0000,2.3710
1990-06-24,,,0.0000,16.1600,8.2800,18.7400,1022.2000,82.4550,1.5900,221.0000,3.1893
1990-06-25,,,0.0000,18.1900,7.9500,24.3700,1023.2000,69.5550,1.2200,313.0000,4.7082
1990-06-26,,,0.0000,20.3600,11.0800,27.1600,1018.9000,65.4200,2.0500,340.0000,5.3350
1990-06-27,,,4.5000,21.6900,13.2700,28.5200,1013.1000,64.8850,2.1200,279.0000,4.4882
1990-06-28,,,0.0000,19.0800,16.6500,21.2400,1015.6000,79.7700,2.0100,158.0000,2.4239
1990-06-29,,,16.7000,19.9800,13.2200,27.8600,1016.0000,70.4800,1.7500,300.0000,4.6793
1990-06-30,,,34.8000,20.7600,14.1800,27.6200,1013.3000,76.8000,1.6100,293.0000,4.6382
1990-07-01,,,0.0000,15.0600,12.9800,20.0100,1014.3000,67.6700,3.2400,246.0000,3.4755
1990-07-02,,,0.0000,13.5300,7.6600,19.1900,1014.3000,79.2100,1.4200,210.0000,2.8638
1990-07-03,,,9.2000,14.1100,8.8400,19.7200,1010.6000,82.6500,2.2100,145.0000,2.0075
1990-07-04,,,0.0000,13.8500,10.8900,17.8000,1014.5000,75.5550,2.3500,213.0000,2.9266
1990-07-05,,,12.2000,13.8600,11.0700,16.5100,1007.7000,85.1050,3.1900,85.0000,1.1713
1990-07-06,,,1.0000,11.5200,9.9100,15.1800,1015.9000,77.9100,4.5400,177.0000,2.2946
1990-07-07,,,6.2000,12.3300,7.0800,15.9500,1022.2000,77.3350,2.4300,173.0000,2.2836
1990-07-08,,,1.9000,15.6100,11.5500,17.1100,1018.2000,93.6445,2.5900,78.0000,1.1139
1990-07-09,,,0.0000,17.9100,15.2800,22.5300,1014.6000,84.7000,2.7700,157.0000,2.3554
1990-07-10,,,4.1000,12.8900,10.2100,17.4600,1019.7000,71.2500,3.4700,241.0000,3.2291
1990-07-11,,,0.0000,13.6300,6.4800,18.2100,1028.0000,69.4150,1.0700,281.0000,3.8206
1990-07-12,,,0.0000,16.9300,5.8100,23.7000,1023.8000,63.3400,1.7500,337.0000,4.9404
1990-07-13,,,0.0000,20.8500,9.5100,26.7000,1017.1000,60.2000,1.4600,325.0000,5.1470
1990-07-14,,,0.0000,16.0400,11.9800,21.5500,1017.4000,54.5250,2.5400,315.0000,4.5420
1990-07-15,,,0.0000,15.1200,7.7200,23.1100,1019.3000,61.4950,1.6000,306.0000,4.3209
1990-07-16,,,0.0000,18.6100,7.5900,26.5400,1019.2000,59.1100,1.7600,285.0000,4.3281
1990-07-17,,,0.0000,17.6200,12.9900,21.9600,1018.7000,68.6400,2.5500,222.0000,3.3066
1990-07-18,,,0.0000,15.0000,9.1900,17.1400,1022.7000,67.6650,1.7800,187.0000,2.6301
1990-07-19,,,0.0000,14.3000,12.0100,19.0200,1020.8000,70.8750,1.4100,207.0000,2.8672
1990-07-20,,,0.0000,16.0300,7.2400,24.5900,1020.9000,68.0950,1.1600,318.0000,4.5785
1990-07-21,,,0.0000,18.8800,8.9100,26.0300,1020.6000,64.3650,1.2100,314.0000,4.7911
1990-07-22,,,0.0000,19.5900,11.0200,26.1600,1019.6000,58.9900,1.6500,315.0000,4.8727
1990-07-23,,,0.0000,18.1100,11.2000,23.7300,1018.8000,46.9900,2.1500,309.0000,4.6476
1990-07-24,,,0.0000,15.6500,6.7800,22.8700,1019.4000,54.7850,1.4500,319.0000,4.5575
1990-07-25,,,0.0000,16.5700,6.4000,23.1900,1017.4000,57.3000,1.4800,312.0000,4.5498
1990-07-26,,,0.0000,18.1900,9.8100,25.1000,1015.3000,59.7550,2.1900,293.0000,4.4190
1990-07-27,,,0.0000,18.5100,9.7000,26.7400,1015.7000,59.6650,1.6100,295.0000,4.4765
1990-07-28,,,0.0000,20.2000,10.1800,29.0400,1017.0000,53.1250,2.0100,311.0000,4.8688
1990-07-29,,,0.0000,22.5200,10.3800,30.4600,1017.4000,58.0650,1.6900,266.0000,4.3331
1990-07-30,,,0.0000,21.4900,17.2500,26.1100,1020.0000,66.3000,1.9500,211.0000,3.3759
1990-07-31,,,2.5000,21.8000,16.3200,25.8700,1021.2000,69.1400,1.3900,177.0000,2.8459
1990-08-01,,,0.0000,20.8500,16.6300,27.7400,1022.8000,70.1700,1.3600,270.0000,4.2686
1990-08-02,,,0.0000,21.6400,14.1600,29.7500,1022.2000,51.0550,2.4300,303.0000,4.8571
1990-08-03,,,0.0000,21.4300,12.3300,28.8600,1022.6000,50.8550,2.7000,311.0000,4.9669
1990-08-04,,,0.0000,20.2200,11.7500,29.0400,1021.3000,52.0100,1.5900,306.0000,4.7858
1990-08-05,,,3.8000,22.7600,10.5700,31.8000,1015.0000,52.8500,2.1200,280.0000,4.5821
1990-08-06,,,1.4000,15.8600,14.6900,21.4300,1013.5000,88.0050,1.8400,123.0000,1.7692
1990-08-07,,,0.0000,14.4500,10.6200,18.4200,1019.5000,61.9450,1.8400,195.0000,2.7118
1990-08-08,,,0.0000,13.7800,5.8100,21.5500,1022.9000,60.5650,1.2700,263.0000,3.5958
1990-08-09,,,0.0000,15.7700,5.8000,23.9100,1022.8000,55.4600,1.0800,280.0000,4.0059
1990-08-10,,,0.0000,18.9800,7.9100,26.7300,1021.0000,54.5150,1.8000,244.0000,3.7297
1990-08-11,,,0.0000,19.6500,10.5600,27.1900,1019.4000,58.2050,0.9400,266.0000,4.1196
1990-08-12,,,0.0000,21.3100,12.2400,30.2600,1015.7000,54.0800,1.8500,281.0000,4.4878
1990-08-13,,,0.0000,21.4200,12.1500,30.0100,1014.2000,53.9200,2.2500,238.0000,3.8099
1990-08-14,,,1.1000,19.1200,14.7100,25.1500,1014.2000,74.7300,1.6100,159.0000,2.4422
1990-08-15,,,0.0000,18.6900,16.4100,23.2600,1014.6000,73.3550,2.0100,186.0000,2.8333
1990-08-16,,,2.7000,19.5300,11.4100,26.1100,1013.6000,68.1800,2.6700,205.0000,3.1736
1990-08-17,,,2.6000,13.2600,10.3800,17.8600,1020.7000,74.0050,2.5000,184.0000,2.4867
1990-08-18,,,0.0000,14.9300,4.8900,20.0400,1021.0000,61.2600,1.7900,218.0000,3.0632
1990-08-19,,,0.0000,17.4100,13.3400,21.8400,1018.8000,66.4450,2.2600,235.0000,3.4853
1990-08-20,,,0.0000,18.6500,11.5600,25.1200,1012.6000,64.2800,4.3000,204.0000,3.1071
1990-08-21,,,2.4000,14.4500,11.2600,17.7200,1016.9000,63.7300,4.5600,106.0000,1.4755
1990-08-22,,,0.0000,14.5500,12.0800,17.7700,1023.7000,68.7250,2.3800,106.0000,1.4751
1990-08-23,,,0.0000,15.8800,6.3100,23.7300,1025.7001,67.9100,1.1600,230.0000,3.2950
1990-08-24,,,0.0000,18.7300,8.4100,26.9600,1021.0000,64.5150,1.6700,260.0000,3.9553
1990-08-25,,,8.0000,21.8400,11.6900,30.0500,1014.9000,55.8950,1.9900,232.0000,3.7396
1990-08-26,,,0.0000,18.0100,15.8800,22.7700,1016.2000,82.6400,1.3600,141.0000,2.1184
1990-08-27,,,0.0000,19.6500,13.9800,26.7200,1015.8000,73.8350,2.1800,224.0000,3.4731
1990-08-28,,,0.0000,19.3800,12.4500,27.5400,1017.1000,73.4500,1.0300,227.0000,3.5005
1990-08-29,,,0.0000,19.8500,13.3800,28.9200,1016.4000,66.2400,1.2000,224.0000,3.4852
1990-08-30,,,0.0000,19.6900,12.3600,28.4700,1013.6000,64.1300,1.7000,213.0000,3.3072
1990-08-31,,,0.0000,15.3000,12.3300,24.5000,1012.2000,78.9950,2.8200,134.0000,1.9048
1990-09-01,,,0.0000,13.0400,11.0100,16.4500,1017.9000,73.0850,2.2500,102.0000,1.3727
1990-09-02,,,1.9000,14.0100,11.0100,18.6800,1020.7000,78.3100,1.7500,138.0000,1.8987
1990-09-03,,,4.7000,13.6800,12.2100,14.4900,1017.5000,92.9833,2.0900,49.0000,0.6698
1990-09-04,,,5.1000,15.6400,12.9700,21.9700,1011.3000,79.9800,2.2500,146.0000,2.0916
1990-09-05,,,0.0000,10.5100,8.1800,14.9300,1012.6000,75.9200,2.8400,175.0000,2.2121
1990-09-06,,,1.1000,12.3100,3.7300,18.6700,1013.9000,73.1800,1.8600,175.0000,2.3168
1990-09-07,,,14.6000,9.9000,8.7200,12.7100,1012.4000,87.5500,3.0900,94.0000,1.1687
