,head_full [m],head [m],rr [mm/d],tg [C],tn [C],tx [C],pp [hPa],hu [%],fg [m/s],qq [W/m2],et [mm/d]
1990-01-23,,,0.0000,-12.2100,-15.5100,-9.7400,1001.1000,80.1050,1.1200,3.0000,0.0150
1990-01-24,,,0.0000,-13.3100,-17.1600,-11.5800,984.8000,71.8300,2.6600,2.0000,0.0095
1990-01-25,,,0.0000,-13.8500,-15.8500,-11.3900,982.4000,73.0400,3.5300,2.0000,0.0092
1990-01-26,,,0.0000,-14.4400,-17.4100,-11.7300,987.0000,78.8350,1.4300,2.0000,0.0089
1990-01-27,,,0.0000,-11.3600,-18.0600,-9.5100,988.8000,91.3867,1.1600,2.0000,0.0106
1990-01-28,,,0.0000,-5.4700,-9.6900,-3.0800,997.2000,88.6211,2.6700,5.0000,0.0356
1990-01-29,,,0.0000,-10.1900,-14.6000,-5.6800,1002.4000,84.5350,2.2700,4.0000,0.0223
1990-01-30,,,1.3000,-10.5200,-13.0900,-6.4700,1006.8000,74.5800,2.2400,3.0000,0.0164
1990-01-31,,,0.0000,-8.6700,-12.8300,-3.7700,1001.1000,71.6950,2.7900,2.0000,0.0121
1990-02-01,,,0.0000,-0.4700,-5.2800,1.2900,991.3000,74.8200,3.3600,8.0000,0.0710
1990-02-02,,,0.0000,-6.3500,-9.9300,2.8300,996.5000,79.5850,2.3000,2.0000,0.0137
1990-02-03,,,0.0000,-0.3200,-10.8400,2.9600,988.9000,68.9250,3.6000,1.5000,0.0134
1990-02-04,,,0.0000,-0.1300,-4.3900,2.5100,993.6000,75.5300,3.2200,1.0000,0.0090
1990-02-05,,,2.7000,-1.6000,-7.5900,0.4900,984.1000,75.2750,2.0300,4.0000,0.0341
1990-02-06,,,2.6000,3.3300,-0.1400,5.2300,982.8000,74.8050,2.9200,1.0000,0.0103
1990-02-07,,,3.3000,0.3100,-0.9600,4.2700,976.9000,86.6250,3.0700,2.0000,0.0185
1990-02-08,,,1.1000,0.4400,-1.5600,4.1600,965.2000,85.8150,4.1700,16.0000,0.1495
1990-02-09,,,0.0000,-3.4400,-5.8400,0.0000,984.5000,93.1000,3.5100,6.0000,0.0472
1990-02-10,,,0.0000,-14.3900,-17.7000,-5.7600,984.9000,86.2350,2.6300,4.0000,0.0179
1990-02-11,,,0.0000,-12.8800,-18.6600,-7.3900,988.5000,89.2150,1.3600,10.0000,0.0486
1990-02-12,,,0.0000,-8.4100,-13.8900,-3.0400,986.7000,78.0150,1.7900,15.0000,0.0931
1990-02-13,,,0.0000,-5.8700,-11.4700,-3.1400,993.6000,83.7850,2.0800,12.0000,0.0840
1990-02-14,,,0.0000,-7.3100,-11.8300,-4.7000,996.8000,85.3105,2.3900,13.0000,0.0846
1990-02-15,,,1.9000,-6.7400,-7.7400,-5.9500,994.6000,79.1550,2.8600,17.0000,0.1140
1990-02-16,,,0.0000,-8.9300,-10.9000,-6.7700,991.5000,85.7000,0.6500,15.0000,0.0903
1990-02-17,,,0.0000,-9.3500,-15.2600,-4.0000,1000.5000,78.3050,2.3100,3.0000,0.0176
1990-02-18,,,1.4000,-6.8600,-17.0800,-1.6500,996.5000,73.2050,4.4400,14.0000,0.0932
1990-02-19,,,0.0000,-4.2500,-8.4700,-1.8200,993.1000,66.2600,4.2300,13.0000,0.0981
1990-02-20,,,1.7000,-0.5800,-6.3900,4.1700,971.9000,73.1450,3.9400,19.0000,0.1699
1990-02-21,,,1.5000,0.2300,-1.3100,3.1300,986.5000,78.6700,2.2900,19.0000,0.1739
1990-02-22,,,4.4000,-0.4200,-4.0600,2.0800,991.8000,83.0000,3.2700,12.0000,0.1067
1990-02-23,,,6.1000,0.2600,-3.4100,4.4400,986.8000,87.9850,2.8400,18.0000,0.1649
1990-02-24,,,1.8000,-0.6200,-3.1400,2.4600,981.3000,84.8600,3.6200,16.0000,0.1420
1990-02-25,,,0.0000,-6.6100,-8.2300,-2.4800,988.8000,86.3900,3.0400,40.0000,0.2711
1990-02-26,,,0.0000,-10.2200,-17.2300,-3.5800,973.5000,77.8150,3.8300,25.0000,0.1425
1990-02-27,,,0.0000,-8.5600,-9.5600,-4.0200,960.5000,76.2100,3.3200,33.0000,0.2072
1990-02-28,,,0.0000,-4.6400,-10.4300,-1.9700,961.5000,82.0250,4.1300,38.0000,0.2879
1990-03-01,,,0.0000,-5.5600,-8.9200,-2.8600,976.8000,84.5400,3.1600,23.0000,0.1652
1990-03-02,,,1.0000,-8.1900,-11.1100,-5.0500,993.1000,83.5550,3.7200,38.0000,0.2373
1990-03-03,,,0.5000,-10.6400,-13.6900,-7.9900,1005.3000,70.3750,3.4400,39.0000,0.2122
1990-03-04,,,0.9000,-10.2900,-14.7600,-8.1800,987.4000,80.0100,2.2900,43.0000,0.2416
1990-03-05,,,2.6000,-6.4000,-10.7500,-3.0000,969.7000,79.4350,2.5800,33.0000,0.2290
1990-03-06,,,1.0000,-6.9500,-8.4500,-4.7000,978.3000,84.8050,3.0300,33.0000,0.2216
1990-03-07,,,0.0000,-11.4700,-16.3800,-5.7600,993.5000,67.1250,2.0200,69.0000,0.3618
1990-03-08,,,0.0000,-9.2400,-12.1800,-5.2600,982.0000,70.2100,3.7900,47.0000,0.2804
1990-03-09,,,1.0000,-8.4100,-15.5200,-3.8700,981.7000,82.8950,2.9400,36.0000,0.2242
1990-03-10,,,0.0000,-7.8300,-11.0200,-4.1200,989.9000,84.4550,1.6100,43.0000,0.2741
1990-03-11,,,0.0000,-12.0100,-15.3000,-7.9200,994.9000,85.7900,1.0300,44.0000,0.2236
1990-03-12,,,0.0000,-18.1200,-22.9300,-14.1800,1000.0000,83.8500,1.3900,74.0000,0.2585
1990-03-13,,,0.0000,-9.9300,-17.2200,-6.1800,1017.1000,72.2200,1.8800,60.0000,0.3362
1990-03-14,,,0.0000,-13.0900,-20.7200,-6.9100,1015.4000,70.5000,1.9000,74.0000,0.3480
1990-03-15,,,4.4000,0.1400,-7.6500,5.0000,992.8000,76.8300,3.1900,25.0000,0.2271
1990-03-16,,,0.0000,-0.1200,-1.4300,2.0700,993.6000,73.5700,5.3100,41.0000,0.3685
1990-03-17,,,1.6000,0.6300,-1.1700,2.5500,1007.2000,69.4150,3.0100,46.0000,0.4224
1990-03-18,,,0.0000,1.9400,-2.8100,6.1800,1000.9000,50.1750,5.7600,49.0000,0.4745
1990-03-19,,,0.0000,-0.2900,-2.3600,2.6500,994.5000,65.3450,3.0100,46.0000,0.4105
1990-03-20,,,0.0000,-2.4900,-6.2300,1.5700,991.4000,81.5600,1.5200,76.0000,0.6205
1990-03-21,,,0.0000,-4.6600,-10.9000,0.9700,990.2000,73.0600,2.3500,80.0000,0.5938
1990-03-22,,,0.9000,-2.6100,-3.7700,-0.0600,978.9000,83.1750,2.0300,54.0000,0.4421
1990-03-23,,,0.0000,-2.5100,-4.7000,0.6900,982.2000,88.4950,1.6100,44.0000,0.3610
1990-03-24,,,0.0000,-4.1200,-12.7400,0.1700,983.1000,74.2700,3.3100,66.0000,0.5044
1990-03-25,,,0.0000,-3.4700,-5.2800,-1.6400,998.6000,75.6050,1.6200,78.0000,0.6074
1990-03-26,,,0.0000,-7.1400,-11.1300,-3.5800,1016.9000,72.7800,1.4300,91.0000,0.5891
1990-03-27,,,0.0000,3.2400,-4.9200,6.0300,1006.1000,68.8350,5.0900,66.0000,0.6680
1990-03-28,,,1.1000,-0.3600,-2.4300,3.6300,1011.2000,75.4350,4.1000,83.0000,0.7311
1990-03-29,,,0.9000,0.0100,-3.3400,2.9800,1003.3000,54.7600,2.7000,111.0000,0.9970
1990-03-30,,,4.1000,-2.7400,-4.5500,1.4000,988.5000,69.4100,3.8300,58.0000,0.4693
1990-03-31,,,0.0000,-3.5600,-5.4500,0.7400,1005.9000,75.3550,4.2300,67.0000,0.5172
1990-04-01,,,0.0000,-5.8300,-7.1900,-3.9500,1006.4000,72.0850,5.1100,92.0000,0.6394
1990-04-02,,,0.0000,-7.3800,-9.6600,-4.0800,1003.3000,67.1100,3.9700,108.0000,0.6975
1990-04-03,,,0.0000,-11.4000,-15.1300,-7.0500,999.1000,72.5200,1.7100,96.0000,0.5032
1990-04-04,,,0.0000,-10.8400,-14.7600,-6.2800,998.1000,76.7500,1.8400,97.0000,0.5248
1990-04-05,,,0.0000,-10.8100,-13.8900,-6.4000,1008.6000,73.8900,1.8700,113.0000,0.6075
1990-04-06,,,0.0000,-10.2800,-17.7900,-4.1700,1015.3000,63.4200,2.2700,127.0000,0.6993
1990-04-07,,,0.0000,-7.4300,-10.6600,-3.5200,1017.9000,75.1600,1.8300,153.0000,0.9756
1990-04-08,,,1.6000,-6.7500,-18.8500,0.8000,1000.2000,81.9800,4.8300,87.0000,0.5809
1990-04-09,,,0.0000,-2.0500,-4.0000,0.4500,990.8000,79.0450,2.6700,84.0000,0.6990
1990-04-10,,,0.0000,-0.6300,-4.6700,4.3000,985.0000,77.9850,1.4900,129.0000,1.1421
1990-04-11,,,0.0000,-1.4000,-8.2700,5.6700,993.1000,67.6200,1.6700,135.0000,1.1526
1990-04-12,,,0.0000,5.6700,2.6100,8.2800,991.1000,63.0750,6.5300,86.0000,0.9523
1990-04-13,,,0.0000,3.1200,1.3800,6.9100,1001.5000,68.7350,6.1200,167.0000,1.6872
1990-04-14,,,0.0000,3.8700,1.2800,7.5100,1007.6000,60.7200,4.0700,169.0000,1.7471
1990-04-15,,,0.0000,3.6400,-0.8800,7.3600,1007.9000,73.8200,5.7900,113.0000,1.1587
1990-04-16,,,0.0000,4.2700,2.7100,6.6100,1007.8000,78.5300,5.9400,120.0000,1.2575
1990-04-17,,,0.0000,3.0900,2.0100,6.3700,1009.5000,69.2550,3.7900,129.0000,1.2962
1990-04-18,,,0.0000,2.4700,-0.8500,5.7500,1017.7000,72.1650,2.6700,97.0000,0.9488
1990-04-19,,,2.3000,1.9500,0.3600,4.3700,1022.5000,88.3550,3.1500,133.0000,1.2728
1990-04-20,,,0.0000,2.5500,-0.3900,5.5000,1033.9000,71.0900,2.2800,173.0000,1.6820
1990-04-21,,,0.0000,1.1100,-4.2400,7.7600,1030.1000,63.6300,1.1900,214.0000,1.9752
1990-04-22,,,1.2000,0.1400,-3.2000,4.8500,1019.0000,82.9600,1.3800,214.0000,1.9141
1990-04-23,,,0.0000,1.6400,0.3000,4.1300,1018.8000,73.6900,3.0900,126.0000,1.1944
1990-04-24,,,0.0000,1.1700,-1.9000,4.9000,1023.1000,68.1050,0.8900,205.0000,1.9042
1990-04-25,,,0.0000,5.6600,0.8100,9.8800,1012.5000,69.5750,2.7000,148.0000,1.6204
1990-04-26,,,0.0000,7.3900,3.7400,10.3500,995.8000,59.9050,3.6900,169.0000,1.9696
1990-04-27,,,0.0000,2.7400,1.2300,7.6500,997.2000,60.7000,4.8200,151.0000,1.5086
1990-04-28,,,0.0000,0.6600,-1.4900,3.0000,1002.7000,68.3600,4.8500,181.0000,1.6682
1990-04-29,,,3.7000,1.9400,-0.4400,5.4400,995.1000,78.1550,3.8900,155.0000,1.5060
1990-04-30,,,0.0000,0.6600,-0.9400,3.3100,1007.5000,74.2750,6.7600,195.0000,1.7922
1990-05-01,,,0.0000,1.1800,-1.4400,4.9900,1026.2001,75.6450,3.2600,163.0000,1.5119
1990-05-02,,,5.3000,4.7900,-0.4200,10.3800,1017.6000,80.5800,6.1300,126.0000,1.3370
1990-05-03,,,0.0000,5.0300,3.4100,8.0400,1016.3000,76.9750,6.6100,161.0000,1.7233
1990-05-04,,,0.0000,4.1400,1.3600,7.0500,1014.9000,74.0250,3.6900,126.0000,1.3096
1990-05-05,,,0.0000,3.3200,1.5900,6.8700,1011.1000,71.7150,3.5000,142.0000,1.4373
1990-05-06,,,2.1000,3.0600,0.7200,6.8400,1008.5000,72.5750,5.3300,168.0000,1.6872
1990-05-07,,,0.0000,-0.9900,-2.2200,2.0200,1016.2000,83.9750,3.8400,174.0000,1.4895
1990-05-08,,,0.0000,1.3400,-1.9000,5.8000,1008.4000,69.5450,4.5900,155.0000,1.4614
1990-05-09,,,0.0000,0.6600,-1.7000,3.2700,1013.5000,68.5600,2.5600,179.0000,1.6394
1990-05-10,,,1.2000,0.4000,-1.6500,4.5700,1003.4000,75.2500,4.2400,178.0000,1.6234
1990-05-11,,,0.0000,0.2000,-3.4900,3.7400,1016.1000,85.3950,3.5900,201.0000,1.8052
1990-05-12,,,0.0000,1.4400,-0.0400,3.5000,1022.9000,68.0200,2.1100,173.0000,1.6237
1990-05-13,,,0.0000,2.1000,-0.0500,3.8900,1019.2000,78.2350,1.8400,191.0000,1.8414
1990-05-14,,,0.0000,1.9500,1.2300,4.4500,1013.8000,80.4050,2.4700,228.0000,2.1926
1990-05-15,,,0.0000,1.2700,-0.5500,3.6700,1012.4000,75.3400,1.5700,135.0000,1.2665
1990-05-16,,,1.1000,1.1800,-0.8300,4.2700,1009.5000,87.3316,2.9400,145.0000,1.3579
1990-05-17,,,1.2000,0.4000,-0.8900,3.3500,1010.4000,83.9650,3.1300,176.0000,1.5985
1990-05-18,,,1.1000,-0.0600,-2.1300,3.2500,1015.9000,81.2500,2.9800,190.0000,1.6891
1990-05-19,,,0.0000,1.1400,-1.2400,3.7200,1021.8000,81.5150,4.7200,126.0000,1.1699
1990-05-20,,,0.0000,1.5500,0.3400,2.8700,1019.1000,77.5600,4.2200,160.0000,1.5113
1990-05-21,,,0.0000,2.3000,-0.3900,4.9500,1016.2000,84.6150,3.2400,134.0000,1.3037
1990-05-22,,,0.0000,2.4600,-0.0400,4.9000,1016.3000,73.7550,1.0500,145.0000,1.4189
1990-05-23,,,0.0000,2.7900,-2.0500,6.3300,1013.1000,57.9450,0.5500,171.0000,1.6965
1990-05-24,,,2.4000,4.3100,0.1600,8.1700,1009.0000,68.1200,1.8800,159.0000,1.6675
1990-05-25,,,2.7000,2.8000,0.5100,5.8200,1009.1000,78.7100,2.4800,160.0000,1.5914
1990-05-26,,,0.0000,4.2300,0.3600,8.4800,1013.2000,74.1050,3.6700,204.0000,2.1288
1990-05-27,,,0.0000,6.3800,-0.1700,11.2700,1018.8000,59.4200,2.1600,223.0000,2.4908
1990-05-28,,,0.0000,4.9800,2.6800,9.8400,1021.3000,78.5900,3.4200,252.0000,2.6859
1990-05-29,,,0.0000,4.8000,1.8200,9.2000,1019.3000,66.4450,2.3700,207.0000,2.1952
1990-05-30,,,0.0000,7.6900,2.2900,11.4600,1008.8000,60.0100,2.5100,180.0000,2.1036
1990-05-31,,,0.0000,4.7800,1.4100,10.0700,1014.9000,48.3650,1.1400,181.0000,1.9226
1990-06-01,,,0.0000,4.5800,1.2500,8.9700,1012.1000,53.2000,2.8200,146.0000,1.5427
1990-06-02,,,0.0000,5.4900,1.9000,9.2800,1008.5000,65.8550,1.6600,222.0000,2.4222
1990-06-03,,,1.0000,4.1700,1.9300,6.5800,1006.3000,70.5000,2.9200,154.0000,1.6096
1990-06-04,,,0.0000,6.8900,3.6400,9.5600,1010.3000,62.6850,4.5600,226.0000,2.5757
1990-06-05,,,0.0000,7.9400,3.6900,12.0400,1012.3000,57.8650,3.1000,203.0000,2.3862
1990-06-06,,,0.0000,10.8900,4.3000,15.4500,1012.6000,52.5600,0.5700,289.0000,3.6905
1990-06-07,,,0.0000,12.9300,6.6600,18.5700,1012.8000,38.4950,3.3200,319.0000,4.2903
1990-06-08,,,0.0000,11.1300,7.7700,15.8300,1012.5000,63.8450,3.1600,323.0000,4.1510
1990-06-09,,,0.0000,9.1700,3.9900,13.4300,1016.5000,59.8950,3.3200,309.0000,3.7572
1990-06-10,,,0.0000,10.7000,4.1000,15.9100,1015.2000,58.0550,3.0000,275.0000,3.4900
1990-06-11,,,0.0000,11.8900,6.3400,16.2400,1014.5000,62.2250,1.1400,263.0000,3.4441
1990-06-12,,,1.4000,6.9100,5.2300,14.9000,1015.3000,84.8150,2.8500,185.0000,2.1046
1990-06-13,,,3.5000,5.6300,3.4200,7.8900,1015.1000,75.2150,3.0200,199.0000,2.1738
1990-06-14,,,0.0000,7.7700,3.7700,11.0400,1018.1000,68.6650,2.1400,154.0000,1.7961
1990-06-15,,,0.0000,8.1100,6.1800,11.0000,1017.6000,68.0450,2.8500,249.0000,2.9344
1990-06-16,,,1.5000,6.7900,5.4200,8.6800,1016.3000,76.0100,2.9700,122.0000,1.3820
1990-06-17,,,0.0000,5.2800,4.3900,7.3300,1017.9000,60.3450,3.3300,158.0000,1.7038
1990-06-18,,,0.0000,5.8400,4.2100,8.0800,1019.6000,72.6350,4.0900,147.0000,1.6131
1990-06-19,,,0.0000,8.1900,4.8000,11.3000,1022.9000,65.9850,3.3800,213.0000,2.5098
1990-06-20,,,0.0000,12.5700,6.0600,18.4100,1020.1000,51.1100,2.8300,245.0000,3.2563
1990-06-21,,,0.0000,14.5300,8.7500,20.3900,1015.8000,44.1300,3.3400,261.0000,3.6414
1990-06-22,,,0.0000,14.7500,10.9800,19.3200,1013.0000,64.3200,3.0800,170.0000,2.3862
1990-06-23,,,0.0000,17.1400,9.3900,24.8900,1008.7000,54.7900,3.7500,281.0000,4.1592
1990-06-24,,,0.0000,15.9900,10.2000,22.4400,1009.6000,50.7200,3.3700,281.0000,4.0588
1990-06-25,,,5.2000,15.1600,10.7900,21.8100,1008.6000,63.3950,3.2300,246.0000,3.4907
1990-06-26,,,4.8000,8.8500,6.9000,17.2900,1000.4000,84.1750,3.0000,174.0000,2.1121
1990-06-27,,,2.3000,8.5500,6.4500,11.7300,1000.0000,70.3250,3.7600,217.0000,2.6119
1990-06-28,,,0.0000,8.0100,5.9900,10.7200,1008.2000,67.9150,3.1000,260.0000,3.0686
1990-06-29,,,13.7000,7.0400,3.8400,10.3800,1003.4000,82.9750,1.8700,186.0000,2.1369
1990-06-30,,,3.6000,5.9700,4.3900,8.3800,1013.1000,89.4684,3.4400,127.0000,1.4041
1990-07-01,,,0.0000,9.6400,4.5600,15.6600,1014.5000,61.0400,1.8900,243.0000,2.9968
1990-07-02,,,0.0000,11.8200,7.2700,15.2800,1007.1000,60.4950,4.3100,202.0000,2.6488
1990-07-03,,,0.0000,12.4100,7.6900,18.9700,999.8000,80.7850,3.7000,88.0000,1.1747
1990-07-04,,,3.4000,10.8700,8.1100,15.7100,1003.8000,92.4062,1.9900,172.0000,2.2036
1990-07-05,,,0.0000,12.3300,7.9600,17.0500,1005.8000,81.1300,1.7200,241.0000,3.2028
1990-07-06,,,2.6000,14.6300,9.3600,20.3600,1004.3000,57.1750,1.2800,213.0000,2.9916
1990-07-07,,,2.2000,11.0000,9.0000,16.0600,1000.9000,93.1714,2.1700,124.0000,1.5961
1990-07-08,,,0.9000,11.7800,9.2200,15.3400,1000.8000,91.5667,2.8300,168.0000,2.2066
1990-07-09,,,1.4000,11.9500,8.0600,16.4200,997.6000,88.2950,2.3300,193.0000,2.5493
1990-07-10,,,10.1000,11.5600,8.7500,15.5000,996.3000,92.9750,2.3800,134.0000,1.7535
1990-07-11,,,2.5000,8.8400,7.8400,12.8600,1003.4000,87.4750,2.8000,141.0000,1.7087
1990-07-12,,,0.0000,9.6900,4.2300,15.2900,1003.1000,75.4000,4.8700,133.0000,1.6510
1990-07-13,,,8.1000,7.4900,6.5500,11.3400,1009.4000,79.3350,3.2100,115.0000,1.3355
1990-07-14,,,0.0000,8.3700,5.3500,12.2700,1021.0000,70.5800,2.3700,134.0000,1.5888
1990-07-15,,,0.0000,11.4200,5.1300,17.0500,1022.5000,51.3550,0.8300,238.0000,3.0689
1990-07-16,,,0.0000,10.5800,7.5100,15.0500,1022.6000,67.1200,2.7900,156.0000,1.9671
1990-07-17,,,0.0000,10.5100,8.6600,12.2000,1020.3000,76.6650,2.9700,158.0000,1.9905
1990-07-18,,,1.2000,13.6000,9.6400,17.5400,1017.5000,81.4500,0.9100,148.0000,2.0191
1990-07-19,,,2.1000,12.4200,10.6100,14.8200,1020.7000,86.3350,1.1300,171.0000,2.2637
1990-07-20,,,0.0000,15.1400,7.6400,21.2500,1019.1000,64.4200,2.1700,181.0000,2.5572
1990-07-21,,,2.5000,14.8000,11.9700,20.6800,1014.8000,74.3200,2.6000,135.0000,1.8958
1990-07-22,,,17.0000,12.1500,11.2500,15.2800,1016.7000,92.6938,2.2100,150.0000,1.9755
1990-07-23,,,1.2000,10.9800,9.8200,13.2300,1021.3000,92.6945,2.1700,157.0000,2.0021
1990-07-24,,,0.0000,11.3800,9.0900,14.6700,1024.7001,86.3950,1.3500,157.0000,2.0204
1990-07-25,,,0.0000,11.9800,9.3300,15.7200,1024.1000,78.0650,1.3600,186.0000,2.4317
1990-07-26,,,0.0000,13.2000,8.0500,18.1300,1022.9000,70.7050,0.8400,188.0000,2.5349
1990-07-27,,,0.5000,11.1700,9.9100,15.0300,1020.1000,83.6200,2.3300,147.0000,1.8850
1990-07-28,,,0.0000,11.5800,9.1000,16.2200,1018.4000,72.0400,0.7600,181.0000,2.3477
1990-07-29,,,0.0000,14.2900,7.3000,19.1600,1015.4000,50.1200,2.4100,215.0000,2.9835
1990-07-30,,,0.0000,14.9100,8.8300,19.5500,1015.1000,69.2350,2.2600,192.0000,2.7027
1990-07-31,,,1.1000,12.3900,7.0500,16.9300,1018.0000,80.0850,1.8400,117.0000,1.5494
1990-08-01,,,0.0000,14.2900,10.2500,19.0300,1023.0000,82.9200,1.6000,140.0000,1.9371
1990-08-02,,,1.6000,14.5600,10.6000,20.2200,1022.8000,77.4300,1.8000,159.0000,2.2139
1990-08-03,,,4.0000,13.7200,11.4000,19.2100,1012.0000,84.6050,2.0200,44.0000,0.6033
1990-08-04,,,0.0000,10.1300,8.6000,13.2800,1005.9000,72.2550,2.0700,136.0000,1.7066
1990-08-05,,,3.6000,9.0100,4.0700,12.7400,996.0000,80.8600,1.9400,153.0000,1.8695
1990-08-06,,,0.0000,8.6300,7.1000,11.1400,1000.4000,75.4000,6.1200,159.0000,1.9179
1990-08-07,,,0.0000,8.0100,4.9000,10.7600,1007.1000,86.2000,2.9700,123.0000,1.4524
1990-08-08,,,0.0000,10.3300,6.3700,14.6600,1004.6000,79.1950,1.8100,87.0000,1.0983
1990-08-09,,,3.0000,10.2100,7.6400,13.0400,1010.8000,91.7474,1.7600,128.0000,1.6062
1990-08-10,,,0.0000,8.8400,7.7000,10.5500,1014.6000,83.5100,2.9300,145.0000,1.7481
1990-08-11,,,0.0000,11.3100,7.5100,16.1400,1014.8000,66.4950,1.2800,203.0000,2.6186
1990-08-12,,,0.0000,13.9500,6.6400,19.9300,1010.2000,57.2850,2.4100,169.0000,2.3314
1990-08-13,,,0.0000,12.5600,6.2900,17.9000,1007.5000,70.6300,5.1200,123.0000,1.6428
1990-08-14,,,0.0000,12.8300,7.1800,18.4300,1008.5000,78.2200,0.5700,114.0000,1.5321
1990-08-15,,,0.0000,15.0400,11.6000,18.9400,1008.3000,74.4750,0.9600,109.0000,1.5427
1990-08-16,,,0.0000,13.8900,8.3500,17.8700,1012.1000,80.7550,2.5800,134.0000,1.8446
1990-08-17,,,0.0000,17.8000,13.9600,21.8200,1011.1000,70.3350,0.9400,149.0000,2.2331
1990-08-18,,,11.8000,13.6500,11.6600,18.6700,1008.9000,81.9350,2.6100,81.0000,1.1101
1990-08-19,,,10.8000,11.8500,9.3500,14.6700,1013.7000,93.5833,2.3200,84.0000,1.0993
1990-08-20,,,1.1000,11.8400,10.0300,15.1600,1009.6000,90.8053,1.5300,99.0000,1.2975
1990-08-21,,,2.6000,11.1900,8.2200,14.3000,1009.0000,91.7769,2.0400,78.0000,1.0055
1990-08-22,,,0.0000,10.4600,9.2600,12.5700,1010.2000,86.7250,2.6000,86.0000,1.0868
1990-08-23,,,3.2000,8.5500,7.0100,10.4500,1009.0000,84.5650,2.8400,91.0000,1.0907
1990-08-24,,,1.3000,7.7800,4.9500,10.3100,1008.9000,87.7750,1.4900,111.0000,1.3007
1990-08-25,,,2.0000,6.2300,3.3000,9.7300,1007.5000,89.7400,2.3400,111.0000,1.2409
1990-08-26,,,0.0000,7.3700,3.5300,10.8300,1011.9000,86.3100,2.3000,107.0000,1.2366
1990-08-27,,,0.0000,7.9100,4.4100,11.5600,1015.2000,80.1900,1.7300,90.0000,1.0555
1990-08-28,,,0.8000,7.5100,4.1200,10.9300,1015.5000,86.5900,2.1400,76.0000,0.8805
1990-08-29,,,0.0000,9.4700,5.2300,13.4300,1018.4000,83.2400,1.0800,58.0000,0.7106
1990-08-30,,,0.0000,11.2400,8.7700,13.5900,1020.2000,87.3900,0.9200,80.0000,1.0277
1990-08-31,,,0.0000,12.5600,6.7900,18.0600,1017.5000,79.0750,1.1100,91.0000,1.2105
1990-09-01,,,0.0000,12.6700,6.9200,18.5600,1017.2000,75.3400,1.7100,131.0000,1.7475
1990-09-02,,,0.0000,10.1400,3.9600,15.2000,1019.2000,63.4950,1.5800,140.0000,1.7469
1990-09-03,,,0.0000,10.1400,3.9800,15.1000,1020.8000,77.9350,2.7800,100.0000,1.2469
1990-09-04,,,0.0000,8.0100,0.5100,13.5200,1018.9000,75.6400,1.4100,152.0000,1.7849
1990-09-05,,,0.0000,5.7600,-0.8100,10.5600,1016.4000,78.4150,1.9400,97.0000,1.0634
1990-09-06,,,0.0000,7.9700,5.5100,9.1200,1015.8000,83.2250,1.5900,101.0000,1.1863
